skz,name,street,zip,city,phone,email,website,principal,school_type
1781,Neue Musikmittelschule Großpetersdorf mit kroatischem Schwerpunkt,Stegersbacher Straße 7,7503,Großpetersdorf,03362/4015,,www.mms-grosspetersdorf.at,"Andreas Bencsics, MAS, MSc","Neue Mittelschule, Sekundarbildung Unterstufe"
2593,Volksschule Güssing,Schulstraße 11,7540,Güssing,03322/42394,,vs-guessing.at,"Dir. Sabine Unger, MA","Volksschule, Grundbildung"
5708,ÖKOLOG Volksschule Leithaprodersdorf,Schulgasse 24,2443,Leithaprodersdorf,02255/7466,,www.vs-leithaprodersdorf.at,,Volksschule
3441,Sport Mittelschule Oberschützen,Schulweg 6,7432,Oberschützen,03353/7693,,www.sms-oberschuetzen.at,"Daniel Karacsonyi, BEd MA","Neue Mittelschule, Sekundarbildung Unterstufe"
1712,Volksschule Deutschkreutz,Hauptstraße 66,7301,Deutschkreutz,02613/8037021,,www.vs-deutschkreutz.com,Christine Pöltl,"Volksschule, Grundbildung"
90,Montessori-Schule Pinkafeld des Vereins Montessori-Heute Pinkafeld,Schützner Straße 15,7423,Pinkafeld,06602272474,,montessori-pinkafeld.at,,Volksschule
483,Neue Mittelschule Andau,Schulgasse 3,7163,Andau,02176/2245 0664 88166688,,www.hs-andau.info,,"Neue Mittelschule, Sekundarbildung Unterstufe"
2227,Volksschule Draßburg-Baumgarten / Osnovna škola Rasporak-Pajngrt,Schulgasse 1,7021,Draßburg/Rasporak,02686/2398,,www.volksschule-drassburg.at,Kathrin Baumgartner,"Volksschule, Grundbildung"
656,Bundes-Oberstufenrealgymnasium Güssing,Schulstraße 17,7540,Güssing,03322/42125,,www.borg-gs.at,Mag. Robert Antoni,AHS
3989,Volksschule Rust am See,Baumgartengasse 15,7071,Rust am See,02685/257,,schulzentrum-rust.at,Claudia Nährer,"Volksschule, Grundbildung"
1132,Neue Mittelschule Rust am See,Baumgartengasse 15,7071,Rust am See,02685/220,,www.schulzentrum-rust.at,Claudia Nährer,"Neue Mittelschule, Sekundarbildung Unterstufe"
2195,Volksschule Loretto,Hauptplatz 5,2443,Loretto,02255/8219,,www.volksschuleloretto.at,,"Volksschule, Grundbildung"
1051,Volksschule Henndorf,,,,03329/46554,,vs-jennersdorf.schulweb.at,,
5815,Bundeshandelsakademie und Bundeshandelsschule Mattersburg,Michael-Koch-Straße 44,7210,Mattersburg,02626/64580,,www.hak-mattersburg.at,,"Kaufmännische Schule, Sekundarbildung Oberstufe"
3990,"Bundesgymnasium, Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium Oberpullendorf",Gymnasiumstraße 21,7350,Oberpullendorf,02612/42407,,www.brgop.at,Mag.a Helga Fabsits,AHS
2715,Volksschule Buchschachen,Schulweg 13,7411,Buchschachen,03356/666,,www.lernen-im-dorf.at,Dorothea de Kruijff,"Volksschule, Grundbildung"
3128,Berufsschule Oberwart,Schulgasse 32,7400,Oberwart,03352/32362,,www.bs-oberwart.at,"BDir. OSR Ing. Dipl.-Päd. Norbert Seldte, BEd","Berufsschule, Sekundarbildung Oberstufe"
3281,Neue Mittelschule Schattendorf,Fabriksgasse 53,7022,Schattendorf,02686/2147,,nms-schattendorf.at,"Petra Leitgeb, BEd MA","Neue Mittelschule, Sekundarbildung Unterstufe"
4019,Volksschule Raiding,Jägerzeile 4,7321,Raiding,0664 9645846,,,,"Volksschule, Grundbildung"
5795,Neue Mittelschule Kittsee,Schulstraße 3,2421,Kittsee,02143/2333,,www.nms-kittsee.at,Isabell Lichtenberger,"Neue Mittelschule, Sekundarbildung Unterstufe"
3909,Polytechnische Schule Eisenstadt,Rosental,7000,Eisenstadt,02682/64302,,www.pts-eisenstadt.at,Wolfgang Berghofer,"Polytechnische Schule, Sekundarbildung Oberstufe"
2147,Volksschule Pöttsching,Hauptstraße 43,7033,Pöttsching,02631/2246,,vs-poettsching.at,Elke Kamper,"Sonderschule, Sonderschule, Volksschule"
1674,Bundeshandelsakademie und Bundeshandelsschule Oberpullendorf,Gymnasiumstraße 19,7350,Oberpullendorf,02612/42621,,www.hak-op.at,Mag. Robert Friedl,"Kaufmännische Schule, Sekundarbildung Oberstufe"
306,Neue Mittelschule Oberwart,Schulgasse 29,7400,Oberwart,03352/38185,,www.emsoberwart.at,Wolf Hans-Peter,"Neue Mittelschule, Sekundarbildung Unterstufe"
4246,Zweisprachiges Bundesgymnasium Oberwart,Badgasse 7,7400,Oberwart,03352/34024,,www.bg-oberwart.at,Mag. Iris Zsótér,AHS
2950,Landesberufsschule Eisenstadt,Gölbeszeile 10-12,7000,Eisenstadt,02682/6330322,,www.bs-eisenstadt.at,,Berufsschule
184,Volksschule Schattendorf,Kirchenplatz1,7022,Schattendorf,02686/2123,,www.vsschattendorf.at,,"Volksschule, Grundbildung"
2214,Zweisprachige Volksschule Siget in der Wart,Kirchenstraße 13,7501,Siget in der Wart,03352/33229,,,,"Volksschule, Grundbildung"
3376,Neue Mittelschule Stegersbach,Sparkassenplatz 4,7551,Stegersbach,03326/52418,,www.nms-stegersbach.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
4607,Höhere technische Bundeslehr- und Versuchsanstalt Pinkafeld,Meierhofplatz 1,7423,Pinkafeld,+43 3357 42491 0,,www.htlpinkafeld.at,DI Dr. Wilfried Lercher M.A.,
694,Joseph Haydn Konservatorium des Landes Burgenland Eisenstadt,Glorietteallee 2,7000,Eisenstadt,02682/63734,,www.haydnkons.at,"Prof. Mag. Tibor Nemeth, ArtD.","Musikschule, Sonstige Bildungseinrichtung"
4669,Kolibri - Schule für ganzheitliches Lernen des Trägervereins von Kolibri Schule für ganzheitliches Lernen Welten,Deutscheckerstraße 2,8383,Welten,03329/48254,,www.kolibri-schule.at,,SAS
186,Volksschule Stegersbach,Kirchengasse 23,7551,Stegersbach,03326/52389,,,,"Volksschule, Grundbildung"
4232,Volksschule Wimpassing,Hauptstraße 12,2485,Wimpassing,0660/1726805,,,,"Volksschule, Grundbildung"
2740,Volksschule Neudorf bei Parndorf,Untere Hauptstraße 1,2475,Neudorf bei Parndorf,02142/6433,,,Gusti Bucsich,"Volksschule, Grundbildung"
3334,Volksschule Tadten,Obere Hauptstraße 5,7162,Tadten,02176/2192 0664 88166688,,www.vs-tadten.at,,"Volksschule, Grundbildung"
988,Volksschule Inzenhof,Inzenhof 8,7540,Güssing,03322/42195,,,,"Volksschule, Grundbildung"
2967,Landwirtschaftliche Fachschule Güssing,Stremtalstraße 19,7540,Güssing,03322/42288-0,,www.lfsguessing.at,FS-Dir. Ing. Dipl.-Päd. Gerhard Müllner,"LFMS, Sekundarbildung Oberstufe"
1035,Volksschule Wiesfleck,Untere Hauptstraße 11,7425,Wiesfleck,03357/45353,,www.vs-wiesfleck.at,Kristin Bernhart,"Volksschule, Grundbildung"
462,Volksschule Stotzing,Hofstatt 2,2443,Stotzing,0660 4987004,,vs.stotzing.at,Karin Eder,"Volksschule, Grundbildung"
730,Neue Mittelschule Rudersdorf,Schulgasse 1,7571,Rudersdorf,03382/71650,,www.nms-rudersdorf.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1127,Volksschule Kohfidisch,Schulgasse 1,7512,Kohfidisch,03366/76593,,www.vs-kohfidisch.at,Direktor,"Volksschule, Grundbildung"
5755,Volksschule Markt Allhau,Schulgasse 13,7411,Markt Allhau,03356/258,,www.volksschule-markt-allhau.at,Christina Frotschnig,"Volksschule, Grundbildung"
2,Neue Mittelschule Kobersdorf,Badgasse 13,7332,Kobersdorf,02618/8236,,www.hs.kobersdorf.com,,"Neue Mittelschule, Sekundarbildung Unterstufe"
5411,Volksschule Jois,Untere Hauptstraße 42,7093,Jois,02160/836710,,www.jois.at/marktgemeinde/bildung-und-gesundheit/volksschule/,,"Volksschule, Grundbildung"
377,Volksschule Aschau,Schulgasse 7,7432,Aschau im Burgenland,03353/7731,,www.gemeindeoberschuetzen.at,,"Volksschule, Grundbildung"
147,Volksschule Neutal,Kirchengasse 13,7343,Neutal,02618/2201,,www.vs-neutal.at,Hildegard Resch,"Volksschule, Grundbildung"
487,Neue Mittelschule Neudörfl an der Leitha,Kirchplatz 1,7201,Neudörfl an der Leitha,02622/77366,,nms-neudoerfl.at,Karin Sinawehl,"Neue Mittelschule, Sekundarbildung Unterstufe"
2767,Mittelschule Deutschkreutz,Hauptstraße 66,7301,Deutschkreutz,02613/80282,,www.nms-deutschkreutz.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1965,Volksschule Hannersdorf,Hannersdorf 186,7473,Hannersdorf,03364/2715,,vs-hannersdorf.at,,Volksschule
4265,"Höhere Bundeslehranstalt für Mode, Produktmanagement, Tourismus und Wirtschaftliche Berufe,gstechnik Oberwart",Badgasse 5,7400,Oberwart,03352/34414,,www.hbla-oberwart.at,,"WMS und WHS, Sekundarbildung Oberstufe"
3240,Volksschule Mischendorf,Schulgasse 1,7511,Mischendorf,03366/78560,,,Direktor,"Volksschule, Grundbildung"
1927,Volksschule Deutsch Schützen,Schulgasse 1,7474,Deutsch Schützen,03365/2221,,vs.deutsch-schuetzen.at,,"Volksschule, Grundbildung"
5732,Polytechnische Schule Stegersbach,Sparkassenplatz 4,7551,Stegersbach,03326/52170,,www.pts-stegersbach.at,Siegfried Prader,"Polytechnische Schule, Sekundarbildung Oberstufe"
4911,Volksschule Markt Neuhodis,Markt Neuhodis 30a,7464,Markt Neuhodis,03363/79586,,www.vs-marktneuhodis.at,betr. Schulleitung,"Volksschule, Grundbildung"
1348,Landesberufsschule Pinkafeld,Schlossgasse 1,7423,Pinkafeld,03357/42271-0,,www.bs-pinkafeld.at,Ing. Wilhelm Pfeiffer,"Berufsschule, Sekundarbildung Oberstufe"
1948,Volksschule Großhöflein,Schulgasse 9,7051,Großhöflein,0676/845476606,,,,"Volksschule, Grundbildung"
5770,Neue Mittelschule Stoob,Schulgasse 6,7344,Stoob,02612/42758,,www.bnms-stoob.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
4355,Volksschule Frauenkirchen,Kirchenplatz 1b,7132,Frauenkirchen,02172/2330,,www.vs-frauenkirchen.at,,"Volksschule, Grundbildung"
6083,Mittelschule Neufeld an der Leitha,Hauptstraße 32,2491,Neufeld an der Leitha,02624/52698,,www.nmsneufeld.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
2156,Volksschule Wörterberg,Wörterberg 139,8293,Wörterberg,03358/2479,,,Dagmar Krammer,"Volksschule, Grundbildung"
896,Neue Mittelschule Gols am See,Badgasse 8,7122,Gols am See,02173/2411,,www.nms-gols.at,,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
5451,Volksschule Strem,Hauptstraße 1,7522,Strem,03324/7375,,,,"Volksschule, Grundbildung"
4052,Neue Mittelschule Pamhagen,Schulgasse 2,7152,Pamhagen,02174/2149,,www.nms-pamhagen.at,"Dir. NMS OSR Konrad Unger, BEd",Neue Mittelschule
5054,Volksschule Oberloisdorf,Schulgasse 3,7451,Oberloisdorf,02611/2384 0699/ 174 57 317,,,Michaela Töpfer,"Volksschule, Grundbildung"
54,2e römisch-katholische Volksschule der Vereinigung von Ordensschulen Österreichs Neusiedl am See,Untere Hauptstraße 66,7100,Neusiedl am See,02167/2438,,www.klosterschule.at,,"Volksschule, Grundbildung"
133,Volksschule Oberpullendorf,Eisenstädterstraße 9,7350,Oberpullendorf,02612/42246,,www.vsoberpullendorf.at,,"Volksschule, Grundbildung"
