skz,name,street,zip,city,phone,email,website,principal,school_type
1170,Neue Musikmittelschule Wien,Am Schöpfwerk 27,1120,Wien,01/6678178,,www.komm12.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1220,Bundesgymnasium und Bundesrealgymnasium mit Modellversuch Neue Mittelschule Wien,Theodor Kramer-Straße 3,1220,Wien,01/2586950,,www.theodor-kramer.at,,"AHS mit NMS, AHS, Sekundarbildung Unterstufe"
1232,Bundesgymnasium Wien,Rainergasse 39,1050,Wien,01/5444341,,www.rainergymnasium.at,,AHS
1398,Neue Mittelschule Wien,Anton-Sattler-Gasse 93,1222,Wien,01/2034781,,gts-anton-sattler-gasse.schule.wien.at,,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
1490,Handelsakademie und Handelsschule - Augarten des Fonds der Wiener Kaufmannschaft Wien,Untere Augartenstraße 9,1020,Wien,01/3300241,,www.augarten.vbs.ac.at,,"Kaufmännische Schule, Sekundarbildung Oberstufe"
1515,Volksschule Wien,Schüttaustraße 42,1223,Wien,01/235367,,volksschule-kaisermuehlen.schule.wien.at,,"Volksschule, Grundbildung"
1518,Volksschule Wien,Pantzergasse 25,1190,Wien,01/3694245,,www.vs-pantzergasse.at,,"Volksschule, Grundbildung"
1520,Volksschule Wien,Jochbergengasse 1,1210,Wien,01/2922561,,www.vs-jochbergengasse.at,,"Volksschule, Grundbildung"
1579,Volksschule Wien,Pannaschgasse 6,1050,Wien,01/5447554,,pannaschgasse.schule.wien.at,,"Volksschule, Grundbildung"
1499,Neue Mittelschule Wien,Obere Augartenstraße 38,1020,Wien,01/2165990,,www.augartenschule.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1511,Neue Mittelschule Wien,Anton Baumgartner-Straße 119,1230,Wien,01/6676251,,oeko-ms.oekoschule.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1591,Bundesgymnasium Wien,Billrothstraße 26-30,1190,Wien,01/3684615,,www.billrothgymnasium.at,,AHS
1631,Volksschule Wien,Vorgartenstraße 42,1200,Wien,01/3327184,,geps20.schule.wien.at,,"Volksschule, Grundbildung"
1643,Bundesrealgymnasium Wien,Pichelmayergasse 1,1100,Wien,01/6891838,,www.brg-pichelmayergasse.at,,AHS
1655,2e Neue Mittelschule des Schulvereines Komensky Wien,Sebastianplatz 3,1030,Wien,01/7148876-30,,www.komensky.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1746,Neue Mittelschule Wien,Sechshauser Straße 71,1150,Wien,01/8939084,,www.schule6haus.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1793,Neue Mittelschule Wien,Greiseneckergasse 31,1200,Wien,01/3325354,,www.schulen.wien.at/schulen/920012,,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
1807,Volksschule Wien,Priessnitzgasse 1/II,1210,Wien,01/2700613,,www.schulen.wien.at/#21,,"Volksschule, Grundbildung"
1808,Neue Mittelschule Wien,Gassergasse 44,1050,Wien,01/5445399,,nms-gassergasse44.schule.wien.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
1831,Neue Mittelschule Wien,Mira-Lobe-Weg 4,1220,Wien,01/251197,,www.mittelschulemiralobeweg.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
2004,Volksschule Wien,Rötzergasse 2-4,1170,Wien,01/40912-20,,www.roetzergasse.at,,"Volksschule, Grundbildung"
2042,Bundesrealgymnasium Wien,Krottenbachstraße 11,1190,Wien,01/3681488,,www.brg19.at,,AHS
2048,Bundesgymnasium und Bundesrealgymnasium Wien,Geringergasse 2,1110,Wien,01/7678777,,www.g11.ac.at,,AHS
2129,Bundesgymnasium Wien,Ödenburger Straße 74,1210,Wien,01/2923550,,www.grg21oe.at,,AHS
2132,Bundesfachschule für wirtschaftliche Berufe und Fachschule für Sozialberufe Wien,Kalvarienberggasse 28,1170,Wien,01/4066726,,www.kalvarienberggasse.at,,"WMS und WHS, Sozialberufliche Schule, Sekundarbildung Oberstufe"
